,id,title,original_language,release_date,release_mon,release_month,release_year,vote_average,popularity,adult
376,775,A Trip to the Moon,fr,4/17/02,4,April,1902,8,14.106,FALSE
10376,775,A Trip to the Moon,fr,4/17/02,4,April,1902,8,14.106,FALSE
3421,5698,The Great Train Robbery,en,12/7/03,12,December,1903,7,8.288,FALSE
13421,5698,The Great Train Robbery,en,12/7/03,12,December,1903,7,8.288,FALSE
5620,292141,The Right of Youth,en,1/2/11,1,January,1911,6.6,3.606,FALSE
15620,292141,The Right of Youth,en,1/2/11,1,January,1911,6.6,3.606,FALSE
8432,618,The Birth of a Nation,en,2/8/15,2,February,1915,6.1,12.881,FALSE
18432,618,The Birth of a Nation,en,2/8/15,2,February,1915,6.1,12.881,FALSE
2832,3059,Intolerance: Love's Struggle Throughout the Ages,en,9/4/16,9,September,1916,7.2,9.71,FALSE
12832,3059,Intolerance: Love's Struggle Throughout the Ages,en,9/4/16,9,September,1916,7.2,9.71,FALSE
2108,47653,The Immigrant,en,6/17/17,6,June,1917,7.3,7.795,FALSE
12108,47653,The Immigrant,en,6/17/17,6,June,1917,7.3,7.795,FALSE
1827,36208,A Dog's Life,en,4/14/18,4,April,1918,7.4,7.281,FALSE
11827,36208,A Dog's Life,en,4/14/18,4,April,1918,7.4,7.281,FALSE
375,234,The Cabinet of Dr. Caligari,de,2/27/20,2,February,1920,8,19.347,FALSE
10375,234,The Cabinet of Dr. Caligari,de,2/27/20,2,February,1920,8,19.347,FALSE
334,23282,One Week,en,8/29/20,8,August,1920,8,5.973,FALSE
10334,23282,One Week,en,8/29/20,8,August,1920,8,5.973,FALSE
574,58129,The Phantom Carriage,sv,1/1/21,1,January,1921,7.8,10.193,FALSE
10574,58129,The Phantom Carriage,sv,1/1/21,1,January,1921,7.8,10.193,FALSE
135,10098,The Kid,en,1/21/21,1,January,1921,8.2,13.788,FALSE
10135,10098,The Kid,en,1/21/21,1,January,1921,8.2,13.788,FALSE
822,653,Nosferatu,de,2/16/22,2,February,1922,7.7,16.727,FALSE
10822,653,Nosferatu,de,2/16/22,2,February,1922,7.7,16.727,FALSE
534,22596,Safety Last!,en,4/1/23,4,April,1923,7.9,10.503,FALSE
10534,22596,Safety Last!,en,4/1/23,4,April,1923,7.9,10.503,FALSE
1373,701,Our Hospitality,en,11/19/23,11,November,1923,7.5,12.611,FALSE
11373,701,Our Hospitality,en,11/19/23,11,November,1923,7.5,12.611,FALSE
207,992,Sherlock Jr.,en,4/17/24,4,April,1924,8.1,11.559,FALSE
10207,992,Sherlock Jr.,en,4/17/24,4,April,1924,8.1,11.559,FALSE
666,5991,The Last Laugh,de,12/23/24,12,December,1924,7.8,7.358,FALSE
10666,5991,The Last Laugh,de,12/23/24,12,December,1924,7.8,7.358,FALSE
1062,32600,Seven Chances,en,3/15/25,3,March,1925,7.6,6.256,FALSE
11062,32600,Seven Chances,en,3/15/25,3,March,1925,7.6,6.256,FALSE
288,962,The Gold Rush,en,7/12/25,7,July,1925,8,13.214,FALSE
10288,962,The Gold Rush,en,7/12/25,7,July,1925,8,13.214,FALSE
3076,964,The Phantom of the Opera,en,9/22/25,9,September,1925,7.1,11.025,FALSE
13076,964,The Phantom of the Opera,en,9/22/25,9,September,1925,7.1,11.025,FALSE
1002,643,Battleship Potemkin,ru,12/24/25,12,December,1925,7.6,15.785,FALSE
11002,643,Battleship Potemkin,ru,12/24/25,12,December,1925,7.6,15.785,FALSE
405,10728,Faust,de,10/13/26,10,October,1926,7.9,6.934,FALSE
10405,10728,Faust,de,10/13/26,10,October,1926,7.9,6.934,FALSE
325,961,The General,en,12/25/26,12,December,1926,8,14.4,FALSE
10325,961,The General,en,12/25/26,12,December,1926,8,14.4,FALSE
177,19,Metropolis,de,2/6/27,2,February,1927,8.2,19.821,FALSE
10177,19,Metropolis,de,2/6/27,2,February,1927,8.2,19.821,FALSE
2826,2760,The Lodger: A Story of the London Fog,en,2/14/27,2,February,1927,7.2,10.868,FALSE
12826,2760,The Lodger: A Story of the London Fog,en,2/14/27,2,February,1927,7.2,10.868,FALSE
2590,28966,Wings,en,8/12/27,8,August,1927,7.2,9.065,FALSE
12590,28966,Wings,en,8/12/27,8,August,1927,7.2,9.065,FALSE
520,631,Sunrise: A Song of Two Humans,en,11/4/27,11,November,1927,7.9,13.915,FALSE
10520,631,Sunrise: A Song of Two Humans,en,11/4/27,11,November,1927,7.9,13.915,FALSE
299,28978,The Circus,en,1/6/28,1,January,1928,8,11.631,FALSE
10299,28978,The Circus,en,1/6/28,1,January,1928,8,11.631,FALSE
268,780,The Passion of Joan of Arc,fr,4/21/28,4,April,1928,8,16.666,FALSE
10268,780,The Passion of Joan of Arc,fr,4/21/28,4,April,1928,8,16.666,FALSE
982,25768,"Steamboat Bill, Jr.",xx,5/9/28,5,May,1928,7.7,6.834,FALSE
10982,25768,"Steamboat Bill, Jr.",xx,5/9/28,5,May,1928,7.7,6.834,FALSE
387,31411,The Cameraman,en,9/10/28,9,September,1928,7.9,8.113,FALSE
10387,31411,The Cameraman,en,9/10/28,9,September,1928,7.9,8.113,FALSE
2098,53565,Steamboat Willie,en,11/18/28,11,November,1928,7.3,11.141,FALSE
12098,53565,Steamboat Willie,en,11/18/28,11,November,1928,7.3,11.141,FALSE
1430,626,Un Chien Andalou,fr,6/5/29,6,June,1929,7.5,12.774,FALSE
11430,626,Un Chien Andalou,fr,6/5/29,6,June,1929,7.5,12.774,FALSE
5716,543,Blackmail,en,7/28/29,7,July,1929,6.6,9.996,FALSE
15716,543,Blackmail,en,7/28/29,7,July,1929,6.6,9.996,FALSE
1895,88018,The Skeleton Dance,en,8/29/29,8,August,1929,7.4,8.568,FALSE
11895,88018,The Skeleton Dance,en,8/29/29,8,August,1929,7.4,8.568,FALSE
1990,228,The Blue Angel,de,4/1/30,4,April,1930,7.4,9.021,FALSE
11990,228,The Blue Angel,de,4/1/30,4,April,1930,7.4,9.021,FALSE
681,143,All Quiet on the Western Front,en,4/29/30,4,April,1930,7.8,16.45,FALSE
10681,143,All Quiet on the Western Front,en,4/29/30,4,April,1930,7.8,16.45,FALSE
4444,5729,L'Âge d'or,fr,11/28/30,11,November,1930,6.8,6.989,FALSE
14444,5729,L'Âge d'or,fr,11/28/30,11,November,1930,6.8,6.989,FALSE
3731,27899,Little Caesar,en,1/25/31,1,January,1931,7,12.352,FALSE
13731,27899,Little Caesar,en,1/25/31,1,January,1931,7,12.352,FALSE
63,901,City Lights,en,2/1/31,2,February,1931,8.3,16.57,FALSE
10063,901,City Lights,en,2/1/31,2,February,1931,8.3,16.57,FALSE
2641,138,Dracula,en,2/12/31,2,February,1931,7.2,19.416,FALSE
12641,138,Dracula,en,2/12/31,2,February,1931,7.2,19.416,FALSE
2296,17687,The Public Enemy,en,4/23/31,4,April,1931,7.3,14.916,FALSE
12296,17687,The Public Enemy,en,4/23/31,4,April,1931,7.3,14.916,FALSE
218,832,M,de,5/11/31,5,May,1931,8.1,14.83,FALSE
10218,832,M,de,5/11/31,5,May,1931,8.1,14.83,FALSE
1376,3035,Frankenstein,en,11/19/31,11,November,1931,7.5,20.538,FALSE
11376,3035,Frankenstein,en,11/19/31,11,November,1931,7.5,20.538,FALSE
2288,3019,Dr. Jekyll and Mr. Hyde,en,12/24/31,12,December,1931,7.3,12.667,FALSE
12288,3019,Dr. Jekyll and Mr. Hyde,en,12/24/31,12,December,1931,7.3,12.667,FALSE
4464,15849,The Mummy,en,1/1/32,1,January,1932,6.8,16.336,FALSE
14464,15849,The Mummy,en,1/1/32,1,January,1932,6.8,16.336,FALSE
607,136,Freaks,en,2/12/32,2,February,1932,7.8,14.824,FALSE
10607,136,Freaks,en,2/12/32,2,February,1932,7.8,14.824,FALSE
1473,877,Scarface,en,4/9/32,4,April,1932,7.5,26.676,FALSE
11473,877,Scarface,en,4/9/32,4,April,1932,7.5,26.676,FALSE
2224,779,Vampyr,de,5/6/32,5,May,1932,7.3,9.477,FALSE
12224,779,Vampyr,de,5/6/32,5,May,1932,7.3,9.477,FALSE
3536,33680,Grand Hotel,en,5/25/32,5,May,1932,7,13.675,FALSE
13536,33680,Grand Hotel,en,5/25/32,5,May,1932,7,13.675,FALSE
9129,26860,White Zombie,en,7/28/32,7,July,1932,5.9,7.621,FALSE
19129,26860,White Zombie,en,7/28/32,7,July,1932,5.9,7.621,FALSE
3911,1994,The Most Dangerous Game,en,9/16/32,9,September,1932,6.9,7.945,FALSE
13911,1994,The Most Dangerous Game,en,9/16/32,9,September,1932,6.9,7.945,FALSE
4519,31592,The Old Dark House,en,10/19/32,10,October,1932,6.8,5.674,FALSE
14519,31592,The Old Dark House,en,10/19/32,10,October,1932,6.8,5.674,FALSE
1442,195,Trouble in Paradise,en,10/30/32,10,October,1932,7.5,6.384,FALSE
11442,195,Trouble in Paradise,en,10/30/32,10,October,1932,7.5,6.384,FALSE
1041,244,King Kong,en,3/15/33,3,March,1933,7.6,23.666,FALSE
11041,244,King Kong,en,3/15/33,3,March,1933,7.6,23.666,FALSE
4048,44494,Zero for Conduct,fr,4/7/33,4,April,1933,6.9,7.086,FALSE
