zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
39730,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.106872636,0.043795788,0.112400072
38858,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.106872636,0.043795788,0.112400072
21864,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12754159,0,0.127045236
21824,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12754159,0,0.127045236
21866,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12754159,0,0.127045236
21851,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12754159,0,0.127045236
21863,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12754159,0,0.127045236
23302,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23308,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23486,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23350,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23395,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23410,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23417,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23416,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23426,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23418,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23306,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23488,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23414,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23442,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23358,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23307,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23301,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23480,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23401,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23356,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23415,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23336,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23359,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23357,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23341,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23423,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23427,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23303,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23337,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23420,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23310,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23407,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23354,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23413,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23409,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23405,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23313,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23316,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23443,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23404,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23408,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23482,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23483,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23429,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23422,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23389,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23412,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23419,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23440,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23441,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23398,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23399,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23396,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23345,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
23347,84,A & N Electric Coop,VA,Bundled,Cooperative,0.10928873,0.078227471,0.121053871
54930,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54968,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54457,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54909,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53932,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54941,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54646,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53949,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53954,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53959,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54960,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53964,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53559,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54966,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53944,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53948,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53933,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54613,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54921,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54982,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
53920,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
54965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.124256715,0.095658745,0.159431553
